clock	value
1508601638	0.0279
1508601698	0.0825
1508601758	0.0821
1508601818	0.1104
1508601878	0.0583
1508601938	0.0367
1508601998	0.0408
1508602058	0.0371
1508602118	0.0483
1508602178	0.1442
1508602237	0.1104
1508602298	0.0812
1508602357	0.1662
1508602418	0.1017
1508602478	0.1188
1508602538	0.0879
1508602598	0.0821
1508602658	0.1183
1508602718	0.1871
1508602777	0.2883
1508602838	0.2242
1508602898	0.1238
1508602958	0.0825
1508603018	0.0517
1508603078	0.0629
1508603137	0.0804
1508603198	0.0921
1508603258	0.0754
1508603318	0.0417
1508603378	0.1146
1508603438	0.0508
1508603498	0.0771
1508603558	0.0779
1508603618	0.0917
1508603678	0.065
1508603738	0.1296
1508603798	0.0812
1508603858	0.1225
1508603917	0.1013
1508603978	0.0842
1508604038	0.1304
1508604098	2.1154
1508604158	1.2942
1508604218	0.6762
1508604278	0.2988
1508604338	0.2088
1508604398	0.1417
1508604458	0.1167
1508604518	0.0962
1508604578	0.0712
1508604638	0.0796
1508604698	0.0854
1508604758	0.0679
1508604818	0.0496
1508604878	0.1112
1508604938	0.0638
1508604998	0.0554
1508605058	0.0683
1508605118	0.0771
1508605178	0.0571
1508605238	0.0542
1508605298	0.0354
1508605358	0.0417
1508605418	0.03
1508605478	0.0225
1508605538	0.0329
1508605598	0.0446
1508605657	0.065
1508605717	0.0929
1508605778	0.0729
1508605837	0.1108
1508605898	0.0712
1508605957	0.0579
1508606018	0.4492
1508606077	1.4375
1508606138	1.5829
1508606198	1.4967
1508606258	0.8912
1508606318	0.7475
1508606378	0.6717
1508606438	0.5262
1508606497	0.68
1508606558	1.3158
1508606618	1.35
1508606678	1.3175
1508606738	0.6683
1508606798	0.5042
1508606858	0.4925
1508606918	0.3004
1508606978	0.385
1508607038	0.425
1508607098	0.3783
1508607158	0.2488
1508607218	0.1046
1508607277	0.1233
1508607338	0.1592
1508607398	0.2454
1508607457	0.3729
1508607518	0.5425
1508607578	0.6233
1508607638	0.725
1508607698	0.735
1508607758	0.5729
1508607818	0.98
1508607878	0.9246
1508607938	0.5271
1508607998	0.2892
1508608058	0.1646
1508608118	0.2733
1508608178	0.4679
1508608238	0.4
1508608298	0.2533
1508608358	0.1925
1508608418	0.1121
1508608477	0.1242
1508608538	0.625
1508608598	0.2629
1508608658	0.1483
1508608718	0.5183
1508608778	0.3662
1508608838	0.1617
1508608898	0.5546
1508608958	0.2521
1508609018	0.1183
1508609078	0.3708
1508609138	0.5679
1508609198	0.6204
1508609258	0.7254
1508609318	0.9371
1508609378	1.1146
1508609438	0.7317
1508609498	0.5654
1508609558	0.3821
1508609619	1.0492
1508609678	0.465
1508609738	0.2121
1508609798	0.4875
1508609858	0.8662
1508609918	0.6996
1508609978	0.6771
1508610038	0.67
1508610098	0.605
1508610158	0.5888
1508610218	0.9529
1508610278	0.7858
1508610338	0.5329
1508610398	0.4821
1508610458	0.6021
1508610518	0.8171
1508610578	0.8254
1508610638	0.9592
1508610698	0.4083
