clock	value
1508601648	0.0717
1508601708	0.0842
1508601768	0.1146
1508601828	0.1842
1508601888	0.1288
1508601947	0.2142
1508602008	0.1104
1508602068	0.0975
1508602128	0.0858
1508602188	0.1029
1508602248	0.0846
1508602308	0.0958
1508602368	0.0792
1508602428	0.1208
1508602488	0.2025
1508602548	0.1942
1508602608	0.1112
1508602668	0.0917
1508602728	0.1442
1508602788	0.1529
1508602848	0.1
1508602908	0.1317
1508602968	0.1238
1508603028	0.0925
1508603087	0.0988
1508603148	0.1858
1508603208	0.1596
1508603268	0.105
1508603328	0.0683
1508603388	0.0788
1508603448	0.1029
1508603508	0.1204
1508603568	0.255
1508603628	0.1713
1508603688	0.13
1508603748	0.1375
1508603808	0.1642
1508603868	0.1321
1508603928	0.13
1508603988	0.1817
1508604047	0.1642
1508604108	0.1388
1508604168	0.11
1508604227	0.1121
1508604288	0.1783
1508604348	0.1571
1508604408	0.2267
1508604468	0.2183
1508604528	0.1321
1508604588	0.1312
1508604648	0.2046
1508604708	0.5812
1508604768	0.7375
1508604828	0.7883
1508604888	0.7688
1508604948	0.7858
1508605008	0.4646
1508605068	0.3342
1508605128	0.2013
1508605188	0.1346
1508605248	0.1588
1508605308	0.1179
1508605368	0.1117
1508605428	0.0946
1508605488	0.1083
1508605548	0.1433
1508605608	0.1154
1508605668	0.1142
1508605728	0.1404
1508605788	0.1567
1508605848	0.1367
1508605908	0.1267
1508605968	0.285
1508606028	0.2825
1508606088	0.7429
1508606148	0.8262
1508606208	0.6912
1508606268	0.5412
1508606328	0.59
1508606388	0.6654
1508606447	0.5204
1508606508	0.5358
1508606568	0.8554
1508606628	1.4346
1508606688	1.6671
1508606748	0.9254
1508606808	0.7571
1508606868	0.8229
1508606928	0.5138
1508606988	0.6679
1508607048	0.7083
1508607108	1.05
1508607168	0.8542
1508607228	0.7638
1508607287	1.185
1508607348	0.9462
1508607408	0.6637
1508607468	0.7079
1508607528	0.6288
1508607588	0.7267
1508607648	0.8162
1508607708	0.7887
1508607768	0.735
1508607828	1.0229
1508607888	0.9667
1508607948	0.69
1508608008	0.4217
1508608068	0.2479
1508608128	0.4996
1508608188	0.4188
1508608248	0.6196
1508608308	0.3554
1508608368	0.1838
1508608428	0.1367
1508608488	0.2412
1508608548	0.5921
1508608608	0.2733
1508608668	0.1896
1508608728	0.7579
1508608787	0.3212
1508608848	0.1612
1508608908	0.11
1508608968	0.0938
1508609028	0.1192
1508609088	0.3246
1508609148	0.7538
1508609208	0.7975
1508609268	0.8583
1508609328	1.0033
1508609388	0.97
1508609448	0.7079
1508609508	0.7404
1508609568	0.5104
1508609628	0.8775
1508609688	0.5217
1508609747	0.2721
1508609808	0.4233
1508609868	1.1029
1508609928	0.6983
1508609988	0.7046
1508610048	0.6396
1508610108	0.6038
1508610168	0.7113
1508610228	1.2975
1508610288	0.9188
1508610348	0.505
1508610408	0.3458
1508610468	0.4483
1508610528	0.3304
1508610588	0.1583
1508610648	0.2204
1508610708	0.1883
1508610768	0.1225
1508610828	0.1238
1508610888	0.0933
1508610948	0.1104
1508611007	0.0896
1508611069	0.0704
1508611128	0.1429
1508611188	0.1121
1508611247	0.1117
1508611308	0.0962
1508611368	0.1346
1508611428	0.1146
1508611488	0.3883
1508611548	0.4608
1508611608	0.5008
1508611668	0.2842
1508611728	0.1692
1508611788	0.1362
1508611848	0.1417
1508611908	0.1013
1508611968	0.2454
1508612028	0.5554
1508612088	0.2912
1508612148	0.1438
1508612208	0.1029
1508612268	0.0712
1508612328	0.3225
1508612387	0.6117
1508612448	0.5967
1508612508	1.0571
1508612568	0.4642
1508612628	0.2696
1508612688	0.2317
1508612748	0.1829
1508612808	0.6917
1508612868	1.5754
1508612928	1.6912
1508612988	1.6879
1508613048	0.7079
1508613108	0.3054
1508613168	0.2054
1508613228	0.1438
1508613287	0.2804
1508613348	0.9183
1508613408	0.7242
1508613468	0.75
1508613528	0.745
1508613588	0.8283
1508613648	0.7504
1508613708	0.5612
1508613768	0.6267
1508613828	0.5967
1508613888	0.6521
1508613948	0.565
1508614008	0.4083
1508614068	0.6375
1508614128	1.2525
1508614187	0.56
1508614248	0.315
1508614308	0.3012
1508614368	1.4821
1508614428	0.7692
1508614488	1.0917
1508614548	0.7479
1508614608	0.4321
1508614667	0.2646
1508614728	0.28
1508614788	0.3808
1508614848	0.6696
1508614908	0.8125
1508614968	0.7408
1508615028	0.7246
1508615088	0.6058
1508615148	0.5575
1508615208	0.4412
1508615268	0.3954
1508615328	0.4996
1508615388	0.4792
1508615448	0.3346
1508615508	0.2238
1508615568	0.5204
1508615628	0.3579
1508615688	0.1917
1508615748	0.5979
1508615807	0.4246
1508615868	0.2225
1508615928	0.1304
1508615988	0.4742
1508616048	0.4108
1508616108	1.155
1508616168	0.4875
1508616228	0.2412
1508616288	0.1421
1508616348	0.1125
1508616408	0.0792
1508616468	0.1721
1508616528	0.4704
1508616588	0.2675
1508616648	0.185
1508616708	0.1467
1508616768	0.1258
1508616828	0.0883
1508616888	0.0933
1508616948	0.1083
1508617008	0.1338
1508617068	0.085
1508617128	0.1212
1508617188	0.1388
1508617248	0.1596
1508617308	0.1508
1508617368	0.12
1508617428	0.1362
1508617488	0.1621
1508617548	0.3492
1508617608	0.4221
1508617668	0.5754
1508617728	0.5221
1508617788	0.2738
1508617848	0.2288
1508617908	0.2375
1508617968	0.2167
1508618028	0.3404
1508618088	0.2267
1508618148	0.1696
1508618208	0.1125
1508618268	0.1225
1508618328	0.1846
1508618388	0.28
1508618448	0.4121
1508618508	0.2325
1508618568	0.2062
1508618628	0.2562
1508618688	0.1921
1508618748	0.14
1508618808	0.0912
1508618868	0.075
1508618928	0.0692
1508618988	0.7358
1508619048	0.5133
1508619108	0.4525
1508619168	0.2233
1508619227	0.2167
1508619288	0.1983
1508619348	0.15
1508619408	0.1642
1508619468	0.09
1508619528	0.5404
1508619588	0.2533
1508619648	0.1538
1508619708	0.3517
1508619768	0.4304
1508619827	0.6708
1508619888	0.3838
1508619948	0.3012
1508620008	0.145
1508620068	0.1338
1508620129	0.1367
1508620188	0.2075
1508620248	0.1238
1508620308	0.4979
1508620368	0.2333
1508620428	0.3938
1508620488	0.9079
1508620548	1.1662
1508620608	1.2879
1508620668	0.6879
1508620728	0.3942
1508620788	0.2142
1508620848	0.1392
1508620909	0.105
1508620968	0.4017
1508621028	1.0021
1508621089	0.6417
1508621149	0.3275
1508621208	0.4479
1508621268	1.2104
1508621328	1.6658
1508621388	1.6208
1508621448	0.7446
1508621508	0.3546
1508621568	0.2525
1508621629	0.2067
1508621688	0.1475
1508621748	0.1492
1508621808	0.1308
1508621868	0.4242
1508621928	0.3604
1508621987	0.3188
1508622048	0.3654
1508622107	0.165
1508622168	0.2662
1508622228	0.1525
1508622288	1.1383
1508622348	1.7446
1508622408	1.7754
1508622468	1.5279
1508622528	0.7342
1508622588	0.3271
1508622648	0.1862
1508622708	0.1542
1508622768	0.1196
1508622828	0.2554
1508622888	0.1717
1508622948	0.7933
1508623007	1.0517
1508623068	0.5721
1508623128	0.4738
1508623188	0.3075
1508623248	0.4304
1508623308	0.4017
1508623368	0.5133
1508623428	0.42
1508623488	0.26
1508623548	0.2212
1508623608	0.3154
1508623668	0.2708
1508623728	1.0117
1508623788	1.5954
1508623848	1.1179
1508623908	0.9725
1508623968	0.7104
1508624028	0.7138
1508624088	0.6875
1508624148	0.6675
1508624208	0.7104
1508624268	0.8512
1508624328	0.6475
1508624388	1.02
1508624448	0.8608
1508624508	0.6546
1508624568	0.3604
1508624628	0.1758
1508624689	0.2242
1508624748	0.1725
1508624808	0.1867
1508624868	0.18
1508624928	0.2412
1508624988	0.1267
1508625048	0.1396
