clock	value
1508601649	0.1658
1508601709	0.1779
1508601768	0.1846
1508601829	0.1808
1508601889	0.2092
1508601949	0.1892
1508602008	2.0146
1508602069	2.75
1508602129	1.1367
1508602189	0.5496
1508602249	0.3562
1508602309	1.0729
1508602369	0.635
1508602429	0.8746
1508602488	0.945
1508602549	0.5192
1508602609	0.3271
1508602669	0.23
1508602729	0.1929
1508602789	0.2492
1508602848	0.1946
1508602909	2.0529
1508602969	1.6158
1508603029	0.7771
1508603089	0.4062
1508603149	0.2588
1508603209	0.3017
1508603269	0.2788
1508603329	0.5683
1508603389	0.3608
1508603449	0.2892
1508603509	0.2317
1508603569	0.1758
1508603629	0.1908
1508603689	0.2037
1508603749	0.2254
1508603809	1.8983
1508603869	3.6358
1508603929	1.5779
1508603989	0.7088
1508604049	0.5275
1508604109	1.3908
1508604169	1.2258
1508604229	0.5804
1508604289	0.3442
1508604349	0.2571
1508604409	0.4183
1508604469	0.2442
1508604529	0.2346
1508604589	0.2071
1508604649	0.165
1508604709	1.3787
1508604769	1.2142
1508604829	0.5858
1508604889	0.3408
1508604949	0.3392
1508605009	0.2833
1508605069	0.2088
1508605129	0.2333
1508605189	0.25
1508605249	0.1829
1508605309	0.1658
1508605369	0.1417
1508605429	0.1358
1508605489	0.1858
1508605549	0.1729
1508605609	2.0871
1508605669	2.5854
1508605729	1.0762
1508605788	0.5379
1508605849	0.3492
1508605909	1.0212
1508605969	0.5938
1508606029	0.6525
1508606089	1.6062
1508606149	1.6617
1508606209	1.3254
1508606269	0.9108
1508606328	0.6875
1508606389	0.6262
1508606449	0.6696
1508606509	2.3833
1508606569	2.4025
1508606629	1.9833
1508606689	2.235
1508606749	1.2246
1508606809	1.1771
1508606869	1.1142
1508606929	0.5671
1508606989	0.9871
1508607049	0.5967
1508607109	0.6492
1508607169	0.3458
1508607229	0.2425
1508607289	0.6788
1508607349	1.3896
1508607409	3.1208
1508607469	3.42
1508607529	1.8529
1508607589	1.17
1508607649	1.315
1508607709	2.7254
1508607769	2.2654
1508607829	1.2967
1508607889	1.1517
1508607949	0.8142
1508608009	0.7442
1508608069	0.3879
1508608129	0.8242
1508608189	0.6421
1508608249	0.9008
1508608308	1.515
1508608368	1.2533
1508608429	0.5358
1508608489	0.2838
1508608548	0.9188
1508608609	0.5283
1508608669	0.3312
1508608729	0.9529
1508608789	0.4662
1508608848	0.3942
1508608909	0.6888
1508608969	0.3929
1508609029	0.2308
1508609089	0.5383
1508609149	1.1421
1508609209	3.1504
1508609269	4.2383
1508609329	2.3671
1508609389	1.5521
1508609449	1.3408
1508609509	2.1104
1508609569	1.2758
1508609629	1.0308
1508609689	0.5025
1508609749	0.2879
1508609809	0.6442
1508609869	1.015
1508609929	0.8288
1508609989	0.7458
1508610049	0.9921
1508610109	2.3779
1508610169	2.1992
1508610229	1.6683
1508610289	0.9538
1508610349	1.0229
1508610409	0.9379
1508610469	0.7862
1508610529	0.6117
1508610589	0.9896
1508610649	0.8808
1508610709	0.4471
1508610769	0.4538
1508610829	0.2721
1508610889	0.2229
1508610949	0.1904
1508611009	1.9288
1508611069	3.6821
1508611129	1.6279
1508611189	1.0237
1508611249	0.6488
1508611308	1.4379
1508611369	1.0742
1508611429	0.4746
1508611490	0.8379
1508611549	0.7858
1508611609	0.5012
1508611669	0.3446
1508611729	0.2667
1508611789	0.4238
1508611849	0.2408
