clock	value
1508601693	111778144
1508601753	96865024
1508601813	118400952
1508601873	177978208
1508601933	151509176
1508601993	96898112
1508602053	62213176
1508602113	168549832
1508602173	186881208
1508602233	133523256
1508602293	190597600
1508602353	247447280
1508602413	155902656
1508602473	126182296
1508602533	83405728
1508602593	132672784
1508602654	139192448
1508602713	180501096
1508602773	222393632
1508602833	268050344
1508602892	240406696
1508603973	246049664
1508604033	134097648
1508604093	263289392
1508604153	246949376
1508604213	148814296
1508604273	81761232
1508604333	64136464
1508604393	229050792
1508604453	142899832
1508604513	142460688
1508604573	113096864
1508604633	112848760
1508604693	184709736
1508604753	83196920
1508604813	117264544
1508604873	125254280
1508604933	118893056
1508604993	146725032
1508605053	80995520
1508605113	145153136
1508605173	54841960
1508605233	59685104
1508605293	81427864
1508605352	128469816
1508605412	81136720
1508605473	102358736
1508605533	104722664
1508605593	150789968
1508605653	82907448
1508605713	162145184
1508605773	165067592
1508605833	119807280
1508605893	144773016
1508605952	192209176
1508606013	123686016
1508606073	115658200
1508606133	129783456
1508606193	131512616
1508606252	75326192
1508606313	91619120
1508606372	100057120
1508606433	87852752
1508606493	105097424
1508606553	108776680
1508606613	156254392
1508606673	38651936
1508606732	145616400
1508606793	213990568
1508606853	153651728
1508606913	87975976
1508606973	78660952
1508607033	120870008
1508607093	121277552
1508607152	94686800
1508607213	64812832
1508607273	87009328
1508607333	111296256
1508607392	82117640
1508607453	90751888
1508607513	126334856
1508607573	150838016
1508607633	164231568
1508607693	79511672
1508607752	119500320
1508607813	156458440
1508607873	124244856
1508607933	244331744
1508607993	84379608
1508608053	144357928
1508608113	116163992
1508608173	78786848
1508608233	136733560
1508608293	77948440
1508608353	75508672
1508608413	107936936
1508608473	201432792
1508608533	104233760
1508608593	138200976
1508608653	109052720
1508608712	91364816
1508608773	31280160
1508608833	34175376
1508608893	46046736
1508608953	131974528
1508609013	95796584
1508609073	84135680
1508609133	135841704
1508609193	187049920
1508609253	34216512
1508609313	124292120
1508609373	123842448
1508609433	114577432
1508609493	128323752
1508609553	153148832
1508609613	114009896
1508609673	91789728
1508609733	124306440
1508609793	250072152
1508609853	125806000
1508609913	97424736
1508609973	183959144
1508610033	118898928
1508610093	116523056
1508610153	101126536
1508610213	125283256
1508610273	137718312
1508610333	121456960
1508610393	199821216
1508610452	60626464
1508610513	85252608
1508610573	77102448
1508610633	107563488
1508610693	126209072
1508610753	136604536
1508610813	110193080
1508610873	126697928
1508610933	64232952
1508610993	126151728
1508611053	60468272
1508611113	169591792
1508611173	166991264
1508611233	210323664
1508611293	184979904
1508611353	229406280
1508611413	50691936
