clock	value
1508601613	1.0636
1508601673	1.3483
1508601733	1.3182
1508601792	1.4095
1508601852	1.0641
1508601913	1.6103
1508601973	1.4041
1508602033	1.0809
1508602093	0.9243
1508602152	1.6037
1508602213	1.5987
1508602273	1.3194
1508602333	1.2645
1508602393	1.524
1508602453	0.933
1508602513	1.0988
1508602572	1.1956
1508602632	1.6757
1508602693	1.7029
1508602753	1.2805
1508602813	1.3803
1508602873	1.1887
1508602933	1.5057
1508602993	1.3088
1508603053	2.0317
1508603112	1.7095
1508603173	1.2587
1508603233	1.3972
1508603293	1.6531
1508603353	1.5799
1508603413	0.9895
1508603473	1.4085
1508603533	1.6195
1508603593	1.2826
1508603652	1.4149
1508603713	1.0519
1508603773	1.1991
1508603833	1.3663
1508603892	1.8786
1508603953	1.9295
1508604013	1.2575
1508604072	1.5934
1508604133	1.5403
1508604192	1.6572
1508604253	1.5492
1508604313	1.3139
1508604373	1.0878
1508604432	1.525
1508604492	1.5979
1508604552	1.3539
1508604612	1.3643
1508604673	1.9436
1508604733	1.3383
1508604793	1.2851
1508604853	1.312
1508604913	1.1038
1508604973	1.1195
1508605033	1.2765
1508605093	1.4363
1508605153	0.9055
1508605213	0.7816
1508605273	1.5112
1508605333	1.4446
1508605393	1.2191
1508605452	1.3211
1508605513	1.3961
1508605573	1.1265
1508605632	1.0914
1508605693	0.9727
1508605753	1.7785
1508605813	1.1575
1508605873	1.2191
1508605933	1.2807
1508605993	1.2209
1508606053	1.1642
1508606113	1.2442
1508606173	1.4364
1508606233	1.1995
1508606293	1.4425
1508606353	1.3409
1508606413	1.2972
1508606473	1.0755
1508606533	1.3298
1508606592	1.7962
1508606653	1.3981
1508606713	1.1
1508606773	1.3218
1508606833	1.4593
1508606893	1.435
1508606953	1.3817
1508607013	1.7311
1508607072	1.569
1508607133	1.2532
1508607192	1.1819
1508607253	1.1499
1508607313	0.9756
1508607373	1.1522
1508607432	1.2513
1508607493	1.0227
1508607553	1.6405
1508607613	1.0957
1508607673	1.0083
1508607733	0.9105
1508607793	0.8734
1508607853	0.9483
1508607913	0.9972
1508607973	1.4348
1508608033	1.1555
1508608093	1.3624
1508608153	1.189
1508608213	1.3096
1508608273	1.579
1508608333	1.1189
1508608393	1.1211
1508608453	1.4001
1508608513	1.1627
1508608573	1.0687
1508608633	1.1463
1508608693	1.4876
1508608753	1.006
1508608813	0.772
1508608874	1.3432
1508608933	1.4246
1508608993	1.2537
1508609053	1.284
1508609113	1.1987
1508609173	1.194
1508609233	1.3467
1508609293	1.2752
1508609353	1.7457
1508609413	1.2004
1508609473	1.1833
1508609533	1.2268
1508609593	1.1608
1508609653	1.1886
1508609712	1.06
1508609773	1.5288
1508609833	1.3463
1508609892	1.3326
1508609953	1.3402
1508610013	1.202
1508610073	1.2289
1508610133	1.3471
1508610193	1.5861
1508610253	1.4277
1508610313	0.953
1508610373	1.065
1508610433	1.4317
1508610492	1.1252
1508610553	1.0217
1508610612	1.696
1508610673	1.4633
1508610733	1.3943
1508610793	1.2924
1508610853	1.1795
1508610912	1.0206
1508610973	1.1713
1508611033	1.1017
1508611093	1.2548
1508611153	1.4112
1508611213	1.0783
1508611273	0.9925
1508611333	0.8721
1508611393	1.2653
1508611453	1.3896
1508611513	0.9906
1508611573	1.2009
1508611633	1.0953
1508611694	1.3859
1508611753	1.194
1508611813	1.3563
1508611873	1.4747
1508611933	1.1199
1508611993	1.0821
1508612053	1.3671
1508612113	0.9711
1508612173	0.8977
1508612233	1.1277
