clock	value
1508601631	0.5054
1508601691	0.6546
1508601750	0.6607
1508601811	0.7967
1508601871	1.0103
1508601931	0.6908
1508601991	0.6484
1508602051	0.4255
1508602111	0.7816
1508602171	1.4521
1508602231	0.9047
1508602291	0.4611
1508602351	0.6395
1508602411	1.076
1508602471	0.3863
1508602531	0.7477
1508602591	0.7428
1508602651	0.947
1508602711	1.268
1508602771	1.0916
1508602831	0.8122
1508602891	0.7096
1508602951	0.4137
1508603011	1.1769
1508603071	1.3558
1508603131	0.6671
1508603191	0.7502
1508603251	0.7794
1508603311	1.5207
1508603371	0.7753
1508603431	0.5718
1508603491	0.7514
1508603551	0.9109
1508603611	0.9227
1508603671	0.7175
1508603731	0.4664
1508603791	0.5659
1508603851	1.2255
1508603911	1.2618
1508603971	1.4811
1508604031	0.759
1508604091	1.1599
1508604151	0.9855
1508604210	1.1341
1508604271	1.2454
1508604331	0.5936
1508604391	0.5933
1508604451	0.9576
1508604511	1.4031
1508604571	0.5952
1508604631	1.1814
1508604691	0.9547
1508604751	0.6681
1508604811	0.9299
1508604871	0.5683
1508604931	0.5398
1508604990	0.5457
1508605051	0.9607
1508605111	0.8636
1508605171	0.3534
1508605230	0.4778
1508605291	1.0021
1508605350	0.6295
1508605411	0.8262
1508605471	0.7861
1508605531	0.5289
1508605591	0.515
1508605651	0.4154
1508605710	1.3823
1508605771	1.0819
1508605831	0.5374
1508605891	0.793
1508605951	0.7961
1508606011	0.6969
1508606071	1.1774
1508606131	1.0077
1508606191	0.6676
1508606251	0.9313
1508606311	0.9572
1508606371	0.7017
1508606430	0.669
1508606491	0.4111
1508606551	0.9194
1508606611	1.2381
1508606671	0.6861
1508606731	0.6491
1508606791	0.6324
1508606851	1.049
1508606911	0.8237
1508606971	1.0007
1508607031	1.0785
1508607091	0.7918
1508607151	0.5165
1508607211	0.7374
1508607271	0.4089
1508607331	0.4287
1508607391	0.6868
1508607451	0.4625
1508607511	1.0546
1508607571	1.0415
1508607631	0.4718
1508607691	0.4844
1508607751	0.3843
1508607811	0.3706
1508607871	0.52
1508607931	0.7818
1508607991	0.5942
1508608051	0.536
1508608111	0.8474
1508608171	0.5077
1508608231	0.9937
1508608291	0.605
1508608351	0.4145
1508608411	0.7734
1508608471	0.6393
1508608531	0.5204
1508608591	0.5949
1508608651	0.9534
1508608711	0.9726
1508608771	0.2988
1508608832	0.3548
1508608891	0.7973
1508608950	0.8635
1508609010	0.842
1508609071	0.8074
1508609130	0.4072
1508609191	0.5909
1508609251	0.7089
1508609311	1.4349
1508609371	0.9319
1508609431	0.4886
1508609491	0.7888
1508609551	0.6488
1508609611	0.7845
1508609671	0.5859
1508609731	0.7705
1508609791	0.877
1508609851	0.6427
1508609911	0.8613
1508609971	0.7278
1508610031	0.5864
1508610091	0.4465
1508610151	0.9681
1508610211	1.009
1508610271	0.5417
1508610331	0.4099
1508610390	0.6083
1508610451	0.8787
1508610511	0.7684
1508610571	0.6134
1508610631	1.1077
1508610690	0.7389
1508610751	0.6433
1508610811	0.7737
1508610871	0.436
1508610931	0.4465
1508610991	0.6777
1508611051	0.2432
1508611111	0.8298
1508611171	0.7559
1508611231	0.4824
1508611292	0.4918
1508611351	0.2929
1508611411	0.9117
1508611471	0.6046
1508611531	0.5144
1508611591	0.4523
1508611651	0.4297
1508611711	0.8979
