clock	value
1508601610	0.0267
1508601670	0.02
1508601730	0.0367
1508601790	0.0267
1508601850	0.0208
1508601910	0.0608
1508601970	0.0567
1508602029	0.0729
1508602090	0.0529
1508602150	0.0712
1508602210	0.1221
1508602269	0.1083
1508602330	0.0471
1508602390	0.0592
1508602450	0.1229
1508602510	0.1062
1508602570	0.0583
1508602630	0.0988
1508602690	0.1212
1508602750	0.1938
1508602809	0.1333
1508602870	0.1271
1508602930	0.1812
1508602990	0.1529
1508603050	0.1329
1508603110	0.155
1508603170	0.1021
1508603230	0.1258
1508603290	0.1737
1508603350	0.1175
1508603410	0.1292
1508603471	0.0883
1508603530	0.0917
1508603590	0.0742
1508603650	0.1042
1508603710	0.0867
1508603770	0.0954
1508603830	0.0833
1508603890	0.0933
1508603950	0.1208
1508604010	0.0958
1508604070	0.0825
1508604130	0.0746
1508604190	0.0342
1508604250	0.0983
1508604309	0.1421
1508604370	0.1121
1508604490	0.11
1508604550	0.0796
1508604610	0.0629
1508604670	0.0488
1508604730	0.0596
1508604790	0.0742
1508604850	0.0817
1508604909	0.0771
1508604970	0.0838
1508605029	0.0633
1508605090	0.0338
1508605150	0.0388
1508605210	0.0658
1508605270	0.04
1508605330	0.04
1508605390	0.0642
1508605450	0.1054
1508605510	0.0771
1508605570	0.0729
1508605630	0.0442
1508605690	0.0442
1508605749	0.2092
1508605810	0.1075
1508605870	0.0875
1508605930	0.07
1508605990	0.2
1508606050	0.7004
1508606110	1.1513
1508606170	1.2563
1508606230	0.8679
1508606290	0.6342
1508606350	0.6254
1508606410	0.6038
1508606470	0.54
1508606530	0.8233
1508606590	1.0542
1508606650	1.3037
1508606710	1.1592
1508606770	0.6138
1508606830	0.6708
1508606890	0.4842
1508606951	0.2512
1508607010	0.7296
1508607070	0.3417
1508607130	0.4392
1508607190	0.2617
1508607250	0.2333
1508607310	0.8625
1508607370	0.8275
1508607430	0.6592
1508607490	0.6479
1508607550	0.6517
1508607609	0.6667
1508607669	1.5812
1508607730	1.1362
1508607790	0.9408
1508607850	1.1233
1508607910	0.7212
1508607970	0.4404
1508608030	0.2838
1508608090	0.1383
1508608151	0.2638
1508608210	0.1488
1508608270	0.4375
1508608329	0.185
1508608390	0.1
1508608450	0.1233
1508608510	0.5004
1508608570	0.4833
1508608630	0.235
1508608690	0.1312
1508608750	0.2479
1508608810	0.1088
1508608870	0.5088
1508608930	0.2888
1508608990	0.1642
1508609050	0.2446
1508609110	0.4638
1508609170	0.72
1508609230	1.4433
1508609290	2.1529
1508609350	1.7208
1508609410	1.0392
1508609469	0.7754
1508609530	0.5675
1508609590	0.7996
1508609650	0.5029
1508609710	0.2725
1508609770	0.2638
1508609830	0.1967
1508609890	0.1996
1508609950	0.2308
1508610010	0.2546
1508610070	0.3104
1508610130	0.3942
1508610190	0.6637
1508610310	0.7438
1508610370	0.5688
1508610430	0.4408
